Country,Sex,Mean,Count,Std.,CI95_high,CI95_low,CI90_high,CI90_low
Bangladesh,Female,3.185,227,0.821,4.785,1.585,4.539,1.831
Bangladesh,Male,3.047,255,0.873,4.749,1.345,4.487,1.607
China,Female,,0,,,0.000,,0.000
China,Male,,0,,,0.000,,0.000
Japan,Female,2.283,46,0.861,3.961,0.604,3.703,0.863
Japan,Male,2.636,33,0.822,4.240,1.033,3.993,1.280
Malaysia,Female,2.933,45,1.031,4.944,0.922,4.635,1.232
Malaysia,Male,3.394,99,0.726,4.809,1.978,4.592,2.196
Mexico,Female,2.627,185,0.936,4.453,0.801,4.172,1.082
Mexico,Male,2.656,381,0.824,4.263,1.050,4.016,1.297
Pakistan,Female,3.129,140,0.912,4.908,1.350,4.634,1.623
Pakistan,Male,3.149,121,0.792,4.694,1.604,4.456,1.842
United States,Female,2.740,104,1.115,4.914,0.567,4.580,0.901
United States,Male,2.843,223,0.815,4.433,1.254,4.188,1.498
Zambia,Female,2.978,46,0.745,4.431,1.525,4.208,1.749
Zambia,Male,2.567,30,0.971,4.461,0.672,4.170,0.964
