Country,AgeBin,Mean,Count,Std.,CI95_high,CI95_low,CI90_high,CI90_low
Bangladesh,"(0.0, 25.0]",9.855,332,1.323,12.435,7.276,12.038,7.673
Bangladesh,"(25.0, 50.0]",10.033,150,1.282,12.533,7.534,12.148,7.918
Bangladesh,"(50.0, inf]",,0,,,0.000,,0.000
China,"(0.0, 25.0]",6.669,381,2.041,10.648,2.690,10.036,3.302
China,"(25.0, 50.0]",6.555,245,2.137,10.723,2.388,10.081,3.029
China,"(50.0, inf]",4.988,86,1.568,8.046,1.931,7.576,2.401
Japan,"(0.0, 25.0]",8.071,14,1.639,11.268,4.875,10.776,5.367
Japan,"(25.0, 50.0]",8.527,55,1.386,11.230,5.825,10.814,6.241
Japan,"(50.0, inf]",9.100,10,1.197,11.435,6.765,11.075,7.125
Malaysia,"(0.0, 25.0]",9.917,12,0.996,11.859,7.974,11.560,8.273
Malaysia,"(25.0, 50.0]",9.932,117,1.023,11.927,7.936,11.620,8.243
Malaysia,"(50.0, inf]",10.533,15,0.640,11.781,9.285,11.589,9.477
Mexico,"(0.0, 25.0]",9.383,282,1.359,12.032,6.734,11.625,7.141
Mexico,"(25.0, 50.0]",9.414,198,1.344,12.036,6.793,11.632,7.196
Mexico,"(50.0, inf]",9.849,86,1.163,12.117,7.580,11.768,7.929
Pakistan,"(0.0, 25.0]",8.897,68,1.862,12.528,5.266,11.969,5.825
Pakistan,"(25.0, 50.0]",9.534,193,1.584,12.623,6.444,12.148,6.919
Pakistan,"(50.0, inf]",,0,,,0.000,,0.000
United States,"(0.0, 25.0]",8.655,174,1.583,11.741,5.569,11.266,6.044
United States,"(25.0, 50.0]",9.291,103,1.532,12.278,6.305,11.818,6.764
United States,"(50.0, inf]",8.920,50,1.893,12.612,5.228,12.044,5.796
Zambia,"(0.0, 25.0]",9.455,11,1.128,11.654,7.255,11.316,7.593
Zambia,"(25.0, 50.0]",9.143,63,1.595,12.253,6.033,11.774,6.511
Zambia,"(50.0, inf]",9.500,2,0.707,10.879,8.121,10.667,8.333
