Country,Education,Mean,Count,Std.,CI95_high,CI95_low,CI90_high,CI90_low
Bangladesh,S,10.000,42,1.148,12.238,7.762,11.894,8.106
Bangladesh,T,9.804,204,1.456,12.642,6.965,12.206,7.402
China,P,6.075,106,2.119,10.207,1.944,9.572,2.579
China,S,6.438,32,2.109,10.550,2.325,9.917,2.958
China,T,6.517,565,2.084,10.580,2.453,9.955,3.078
Japan,S,7.500,12,1.834,11.076,3.924,10.526,4.474
Japan,T,8.827,52,1.216,11.199,6.455,10.834,6.820
Malaysia,S,9.000,2,1.414,11.758,6.242,11.333,6.667
Malaysia,T,10.000,81,0.987,11.925,8.075,11.629,8.371
Mexico,S,9.234,77,1.327,11.821,6.646,11.423,7.045
Mexico,T,9.498,307,1.297,12.028,6.969,11.638,7.358
Pakistan,S,8.571,7,2.370,13.194,3.949,12.483,4.660
Pakistan,T,9.336,122,1.654,12.562,6.110,12.066,6.606
United States,S,8.727,44,1.436,11.528,5.926,11.097,6.357
United States,T,9.068,146,1.634,12.255,5.881,11.765,6.372
Zambia,T,9.286,42,1.503,12.216,6.356,11.765,6.806
