Country,Profession,Mean,Count,Std.,CI95_high,CI95_low,CI90_high,CI90_low
Bangladesh,Academian/Administration,9.697,145,1.547,12.713,6.680,12.249,7.144
Bangladesh,Medical Professionals,10.003,337,1.186,12.317,7.689,11.961,8.045
China,Academian/Administration,6.745,564,2.073,10.787,2.702,10.165,3.324
China,Medical Professionals,5.216,148,1.684,8.501,1.932,7.996,2.437
Japan,Academian/Administration,8.390,59,1.462,11.241,5.538,10.803,5.977
Japan,Medical Professionals,8.900,20,1.252,11.342,6.458,10.966,6.834
Malaysia,Academian/Administration,9.961,51,1.095,12.096,7.826,11.767,8.154
Malaysia,Medical Professionals,10.011,93,0.950,11.863,8.159,11.578,8.444
Mexico,Academian/Administration,9.431,339,1.430,12.219,6.642,11.790,7.071
Mexico,Medical Professionals,9.515,227,1.176,11.809,7.222,11.456,7.575
Pakistan,Academian/Administration,9.224,58,1.817,12.766,5.682,12.221,6.227
Pakistan,Medical Professionals,9.409,203,1.643,12.612,6.206,12.119,6.698
United States,Academian/Administration,8.815,233,1.654,12.042,5.589,11.545,6.086
United States,Medical Professionals,9.096,94,1.587,12.190,6.002,11.714,6.478
Zambia,Academian/Administration,9.123,57,1.559,12.163,6.082,11.695,6.550
Zambia,Medical Professionals,9.421,19,1.387,12.126,6.716,11.710,7.132
