Country,Sex,Mean,Count,Std.,CI95_high,CI95_low,CI90_high,CI90_low
Bangladesh,Female,9.722,227,1.475,12.598,6.847,12.156,7.289
Bangladesh,Male,10.078,255,1.123,12.269,7.888,11.932,8.225
China,Female,6.096,324,2.098,10.187,2.004,9.558,2.634
China,Male,6.704,388,2.048,10.697,2.710,10.083,3.325
Japan,Female,8.413,46,1.543,11.422,5.404,10.959,5.867
Japan,Male,8.667,33,1.242,11.088,6.245,10.715,6.618
Malaysia,Female,9.933,45,1.053,11.987,7.880,11.671,8.196
Malaysia,Male,10.020,99,0.979,11.930,8.111,11.636,8.405
Mexico,Female,9.395,185,1.561,12.438,6.351,11.970,6.819
Mexico,Male,9.499,381,1.209,11.856,7.142,11.493,7.504
Pakistan,Female,9.193,140,1.662,12.433,5.953,11.935,6.451
Pakistan,Male,9.570,121,1.687,12.861,6.280,12.354,6.786
United States,Female,8.548,104,1.925,12.302,4.794,11.725,5.371
United States,Male,9.058,223,1.462,11.908,6.208,11.470,6.647
Zambia,Female,9.174,46,1.651,12.393,5.955,11.897,6.450
Zambia,Male,9.233,30,1.305,11.778,6.689,11.386,7.081
