Country,AgeBin,Mean,Count,Std.,CI95_high,CI95_low,CI90_high,CI90_low
Bangladesh,"(0.0, 25.0]",17.349,332,2.564,22.349,12.350,21.579,13.119
Bangladesh,"(25.0, 50.0]",17.740,150,2.406,22.433,13.047,21.711,13.769
Bangladesh,"(50.0, inf]",,0,,,0.000,,0.000
China,"(0.0, 25.0]",16.793,381,4.119,24.826,8.760,23.590,9.996
China,"(25.0, 50.0]",16.837,245,3.902,24.446,9.227,23.275,10.398
China,"(50.0, inf]",14.326,86,2.855,19.893,8.758,19.036,9.615
Japan,"(0.0, 25.0]",14.286,14,2.268,18.708,9.864,18.028,10.544
Japan,"(25.0, 50.0]",13.436,55,2.740,18.780,8.093,17.958,8.915
Japan,"(50.0, inf]",15.400,10,2.319,19.922,10.878,19.226,11.574
Malaysia,"(0.0, 25.0]",15.250,12,2.417,19.963,10.537,19.238,11.262
Malaysia,"(25.0, 50.0]",16.120,117,3.015,21.999,10.241,21.094,11.145
Malaysia,"(50.0, inf]",15.200,15,2.883,20.823,9.577,19.958,10.442
Mexico,"(0.0, 25.0]",15.865,282,3.246,22.195,9.535,21.221,10.509
Mexico,"(25.0, 50.0]",16.626,198,2.933,22.345,10.907,21.465,11.787
Mexico,"(50.0, inf]",16.733,86,2.698,21.994,11.471,21.185,12.280
Pakistan,"(0.0, 25.0]",17.426,68,2.750,22.789,12.064,21.964,12.889
Pakistan,"(25.0, 50.0]",17.383,193,2.626,22.503,12.263,21.716,13.051
Pakistan,"(50.0, inf]",,0,,,0.000,,0.000
United States,"(0.0, 25.0]",15.471,174,3.056,21.430,9.513,20.513,10.429
United States,"(25.0, 50.0]",16.612,103,2.587,21.656,11.568,20.880,12.344
United States,"(50.0, inf]",15.560,50,3.876,23.119,8.001,21.956,9.164
Zambia,"(0.0, 25.0]",15.727,11,2.936,21.452,10.003,20.571,10.883
Zambia,"(25.0, 50.0]",16.556,63,2.999,22.403,10.708,21.504,11.608
Zambia,"(50.0, inf]",17.000,2,0.000,17.000,17.000,17.000,17.000
