Country,Education,Mean,Count,Std.,CI95_high,CI95_low,CI90_high,CI90_low
Bangladesh,S,17.929,42,2.224,22.265,13.592,21.598,14.259
Bangladesh,T,17.578,204,2.394,22.247,12.910,21.529,13.628
China,P,16.642,106,3.924,24.292,8.991,23.115,10.168
China,S,16.469,32,4.486,25.217,7.720,23.871,9.066
China,T,16.501,565,4.000,24.301,8.701,23.101,9.901
Japan,S,14.167,12,3.129,20.267,8.066,19.329,9.005
Japan,T,13.731,52,2.680,18.956,8.505,18.152,9.309
Malaysia,S,16.500,2,2.121,20.637,12.363,20.000,13.000
Malaysia,T,15.741,81,2.876,21.348,10.133,20.486,10.996
Mexico,S,16.091,77,2.912,21.769,10.413,20.895,11.286
Mexico,T,16.202,307,3.101,22.250,10.154,21.319,11.085
Pakistan,S,17.000,7,4.509,25.793,8.207,24.440,9.560
Pakistan,T,17.393,122,2.611,22.486,12.301,21.702,13.085
United States,S,16.159,44,3.065,22.135,10.183,21.216,11.102
United States,T,15.993,146,3.005,21.852,10.134,20.951,11.036
Zambia,T,16.190,42,2.915,21.875,10.505,21.001,11.380
