Country,Sex,Mean,Count,Std.,CI95_high,CI95_low,CI90_high,CI90_low
Bangladesh,Female,17.511,227,2.688,22.752,12.270,21.946,13.076
Bangladesh,Male,17.435,255,2.365,22.047,12.824,21.338,13.533
China,Female,16.679,324,4.133,24.738,8.620,23.498,9.860
China,Male,16.369,388,3.868,23.911,8.826,22.751,9.986
Japan,Female,13.587,46,2.663,18.780,8.394,17.981,9.193
Japan,Male,14.182,33,2.686,19.420,8.944,18.614,9.750
Malaysia,Female,15.667,45,3.444,22.383,8.950,21.350,9.983
Malaysia,Male,16.081,99,2.721,21.386,10.776,20.570,11.592
Mexico,Female,16.168,185,3.344,22.689,9.646,21.686,10.650
Mexico,Male,16.310,381,2.948,22.059,10.560,21.175,11.445
Pakistan,Female,17.107,140,2.689,22.352,11.863,21.545,12.670
Pakistan,Male,17.727,121,2.582,22.762,12.692,21.988,13.467
United States,Female,15.096,104,3.105,21.151,9.041,20.219,9.973
United States,Male,16.193,223,3.035,22.111,10.275,21.200,11.185
Zambia,Female,16.500,46,2.795,21.950,11.050,21.111,11.889
Zambia,Male,16.367,30,3.211,22.628,10.106,21.664,11.069
