Country,Education,Mean,Count,Std.,CI95_high,CI95_low,CI90_high,CI90_low
Bangladesh,S,22.833,42,1.962,26.659,19.007,26.071,19.596
Bangladesh,T,23.167,204,1.943,26.955,19.378,26.373,19.961
China,P,11.943,106,3.323,18.424,5.463,17.427,6.460
China,S,11.125,32,3.280,17.521,4.729,16.537,5.713
China,T,12.382,565,3.040,18.310,6.455,17.398,7.367
Japan,S,19.917,12,1.443,22.731,17.102,22.298,17.535
Japan,T,21.173,52,2.074,25.218,17.128,24.596,17.750
Malaysia,S,23.500,2,0.707,24.879,22.121,24.667,22.333
Malaysia,T,23.926,81,1.618,27.082,20.770,26.596,21.255
Mexico,S,22.481,77,2.088,26.551,18.410,25.925,19.036
Mexico,T,22.515,307,2.389,27.174,17.856,26.457,18.573
Pakistan,S,22.714,7,0.951,24.569,20.859,24.284,21.145
Pakistan,T,23.328,122,1.717,26.677,19.979,26.162,20.494
United States,S,22.409,44,3.006,28.271,16.547,27.370,17.449
United States,T,22.253,146,2.933,27.973,16.533,27.093,17.413
Zambia,T,22.143,42,2.148,26.331,17.955,25.687,18.599
