Country,Sex,Mean,Count,Std.,CI95_high,CI95_low,CI90_high,CI90_low
Bangladesh,Female,23.026,227,1.973,26.874,19.179,26.282,19.771
Bangladesh,Male,23.255,255,1.810,26.785,19.725,26.242,20.268
China,Female,11.985,324,3.298,18.415,5.554,17.426,6.543
China,Male,12.399,388,2.977,18.204,6.595,17.311,7.488
Japan,Female,20.761,46,2.415,25.469,16.052,24.745,16.777
Japan,Male,20.697,33,1.811,24.229,17.165,23.685,17.709
Malaysia,Female,23.911,45,1.579,26.989,20.833,26.516,21.306
Malaysia,Male,23.798,99,1.738,27.187,20.409,26.665,20.931
Mexico,Female,22.605,185,2.556,27.590,17.621,26.823,18.388
Mexico,Male,22.659,381,2.264,27.073,18.244,26.394,18.923
Pakistan,Female,23.164,140,1.690,26.461,19.868,25.954,20.375
Pakistan,Male,23.430,121,2.144,27.611,19.249,26.967,19.892
United States,Female,21.577,104,3.346,28.102,15.052,27.098,16.055
United States,Male,22.561,223,2.492,27.420,17.701,26.673,18.448
Zambia,Female,21.761,46,2.223,26.096,17.426,25.429,18.093
Zambia,Male,22.467,30,1.833,26.042,18.892,25.492,19.442
