Country,AgeBin,Mean,Count,Std.,CI95_high,CI95_low,CI90_high,CI90_low
Bangladesh,"(0.0, 25.0]",1.584,332,1.588,4.681,0.000,4.204,0.000
Bangladesh,"(25.0, 50.0]",1.913,150,1.366,4.576,0.000,4.167,0.000
Bangladesh,"(50.0, inf]",,0,,,0.000,,0.000
China,"(0.0, 25.0]",0.714,381,1.233,3.118,0.000,2.749,0.000
China,"(25.0, 50.0]",0.853,245,1.202,3.198,0.000,2.837,0.000
China,"(50.0, inf]",1.384,86,1.129,3.585,0.000,3.247,0.000
Japan,"(0.0, 25.0]",3.286,14,0.914,5.068,1.504,4.794,1.778
Japan,"(25.0, 50.0]",3.218,55,1.049,5.263,1.173,4.948,1.488
Japan,"(50.0, inf]",3.600,10,0.516,4.607,2.593,4.452,2.748
Malaysia,"(0.0, 25.0]",0.750,12,1.545,3.762,0.000,3.299,0.000
Malaysia,"(25.0, 50.0]",1.718,117,1.623,4.883,0.000,4.396,0.000
Malaysia,"(50.0, inf]",1.600,15,1.724,4.961,0.000,4.444,0.000
Mexico,"(0.0, 25.0]",0.762,282,1.127,2.961,0.000,2.622,0.000
Mexico,"(25.0, 50.0]",0.869,198,0.994,2.807,0.000,2.509,0.000
Mexico,"(50.0, inf]",1.174,86,1.108,3.335,0.000,3.003,0.000
Pakistan,"(0.0, 25.0]",2.000,68,1.639,5.196,0.000,4.704,0.000
Pakistan,"(25.0, 50.0]",1.725,193,1.419,4.492,0.000,4.066,0.000
Pakistan,"(50.0, inf]",,0,,,0.000,,0.000
United States,"(0.0, 25.0]",0.833,174,1.148,3.073,0.000,2.728,0.000
United States,"(25.0, 50.0]",1.117,103,1.402,3.851,0.000,3.430,0.000
United States,"(50.0, inf]",1.380,50,1.497,4.299,0.000,3.850,0.000
Zambia,"(0.0, 25.0]",2.000,11,1.673,5.263,0.000,4.761,0.000
Zambia,"(25.0, 50.0]",2.048,63,1.679,5.322,0.000,4.819,0.000
Zambia,"(50.0, inf]",0.000,2,0.000,0.000,0.000,0.000,0.000
