Country,AgeBin,Mean,Count,Std.,CI95_high,CI95_low,CI90_high,CI90_low
Bangladesh,"(0.0, 25.0]",3.084,335,0.847,4.735,1.432,4.481,1.686
Bangladesh,"(25.0, 50.0]",3.154,156,0.859,4.828,1.479,4.571,1.737
Bangladesh,"(50.0, inf]",,0,,,0.000,,0.000
China,"(0.0, 25.0]",2.528,381,0.780,4.048,1.007,3.814,1.241
China,"(25.0, 50.0]",2.229,245,0.948,4.077,0.380,3.792,0.665
China,"(50.0, inf]",1.372,86,0.995,3.312,0.000,3.013,0.000
Japan,"(0.0, 25.0]",2.357,14,0.745,3.810,0.904,3.586,1.128
Japan,"(25.0, 50.0]",2.393,61,0.954,4.253,0.534,3.967,0.820
Japan,"(50.0, inf]",2.583,12,0.669,3.887,1.280,3.686,1.480
Malaysia,"(0.0, 25.0]",3.500,12,0.905,5.264,1.736,4.992,2.008
Malaysia,"(25.0, 50.0]",3.198,121,0.872,4.899,1.498,4.637,1.760
Malaysia,"(50.0, inf]",3.400,15,0.632,4.633,2.167,4.444,2.356
Mexico,"(0.0, 25.0]",2.661,289,0.827,4.273,1.049,4.025,1.297
Mexico,"(25.0, 50.0]",2.590,217,0.862,4.271,0.909,4.012,1.168
Mexico,"(50.0, inf]",2.719,89,1.033,4.734,0.704,4.424,1.014
Pakistan,"(0.0, 25.0]",3.087,69,0.818,4.682,1.492,4.436,1.738
Pakistan,"(25.0, 50.0]",3.155,194,0.868,4.847,1.462,4.587,1.723
Pakistan,"(50.0, inf]",,0,,,0.000,,0.000
United States,"(0.0, 25.0]",2.955,176,0.834,4.580,1.329,4.330,1.579
United States,"(25.0, 50.0]",2.583,108,0.996,4.526,0.640,4.228,0.939
United States,"(50.0, inf]",2.706,51,0.965,4.588,0.824,4.299,1.113
Zambia,"(0.0, 25.0]",2.273,11,0.905,4.037,0.509,3.765,0.780
Zambia,"(25.0, 50.0]",2.873,63,0.813,4.458,1.288,4.215,1.531
Zambia,"(50.0, inf]",4.000,2,0.000,4.000,4.000,4.000,4.000
