Country,AgeBin,Mean,Count,Std.,CI95_high,CI95_low,CI90_high,CI90_low
Bangladesh,"(0.0, 25.0]",9.851,335,1.327,12.439,7.262,12.041,7.660
Bangladesh,"(25.0, 50.0]",10.045,156,1.272,12.525,7.565,12.143,7.946
Bangladesh,"(50.0, inf]",,0,,,0.000,,0.000
China,"(0.0, 25.0]",6.669,381,2.041,10.648,2.690,10.036,3.302
China,"(25.0, 50.0]",6.555,245,2.137,10.723,2.388,10.081,3.029
China,"(50.0, inf]",4.988,86,1.568,8.046,1.931,7.576,2.401
Japan,"(0.0, 25.0]",8.071,14,1.639,11.268,4.875,10.776,5.367
Japan,"(25.0, 50.0]",8.590,61,1.334,11.191,5.989,10.791,6.389
Japan,"(50.0, inf]",8.917,12,1.443,11.731,6.102,11.298,6.535
Malaysia,"(0.0, 25.0]",9.917,12,0.996,11.859,7.974,11.560,8.273
Malaysia,"(25.0, 50.0]",9.959,121,1.020,11.947,7.970,11.641,8.276
Malaysia,"(50.0, inf]",10.533,15,0.640,11.781,9.285,11.589,9.477
Mexico,"(0.0, 25.0]",9.388,289,1.350,12.019,6.756,11.614,7.161
Mexico,"(25.0, 50.0]",9.401,217,1.398,12.127,6.675,11.708,7.094
Mexico,"(50.0, inf]",9.876,89,1.156,12.131,7.622,11.784,7.969
Pakistan,"(0.0, 25.0]",8.899,69,1.848,12.503,5.294,11.948,5.849
Pakistan,"(25.0, 50.0]",9.541,194,1.584,12.630,6.453,12.155,6.928
Pakistan,"(50.0, inf]",,0,,,0.000,,0.000
United States,"(0.0, 25.0]",8.670,176,1.580,11.752,5.589,11.278,6.063
United States,"(25.0, 50.0]",9.278,108,1.515,12.232,6.323,11.778,6.778
United States,"(50.0, inf]",8.922,51,1.874,12.577,5.266,12.014,5.829
Zambia,"(0.0, 25.0]",9.455,11,1.128,11.654,7.255,11.316,7.593
Zambia,"(25.0, 50.0]",9.143,63,1.595,12.253,6.033,11.774,6.511
Zambia,"(50.0, inf]",9.500,2,0.707,10.879,8.121,10.667,8.333
