Country,Education,Mean,Count,Std.,CI95_high,CI95_low,CI90_high,CI90_low
Bangladesh,S,10.000,28,1.333,12.600,7.400,12.200,7.800
Bangladesh,T,10.000,213,1.194,12.327,7.673,11.969,8.031
China,P,5.947,114,1.789,9.436,2.459,8.899,2.995
China,S,5.840,25,1.795,9.341,2.339,8.802,2.878
China,T,6.548,573,2.143,10.728,2.368,10.085,3.011
Japan,S,8.875,16,1.455,11.712,6.038,11.276,6.474
Japan,T,8.415,65,1.413,11.171,5.660,10.747,6.084
Malaysia,T,9.970,100,0.937,11.797,8.143,11.516,8.424
Mexico,S,9.368,125,1.254,11.814,6.922,11.438,7.298
Mexico,T,9.500,338,1.328,12.090,6.910,11.692,7.308
Pakistan,T,9.368,76,1.607,12.502,6.235,12.020,6.717
United States,S,8.442,43,1.578,11.519,5.364,11.046,5.838
United States,T,9.000,129,1.561,12.044,5.956,11.576,6.424
Zambia,S,11.000,1,,,0.000,,0.000
Zambia,T,9.135,52,1.547,12.151,6.118,11.687,6.582
