Country,Sex,Mean,Count,Std.,CI95_high,CI95_low,CI90_high,CI90_low
Bangladesh,Female,9.722,227,1.475,12.598,6.847,12.156,7.289
Bangladesh,Male,10.076,264,1.131,12.281,7.870,11.942,8.209
China,Female,6.096,324,2.098,10.187,2.004,9.558,2.634
China,Male,6.704,388,2.048,10.697,2.710,10.083,3.325
Japan,Female,8.408,49,1.553,11.437,5.379,10.971,5.845
Japan,Male,8.737,38,1.178,11.034,6.439,10.681,6.793
Malaysia,Female,9.957,46,1.053,12.010,7.903,11.694,8.219
Malaysia,Male,10.039,102,0.974,11.939,8.140,11.647,8.432
Mexico,Female,9.395,185,1.561,12.438,6.351,11.970,6.819
Mexico,Male,9.498,410,1.244,11.923,7.073,11.549,7.446
Pakistan,Female,9.191,141,1.656,12.420,5.963,11.924,6.459
Pakistan,Male,9.582,122,1.685,12.868,6.296,12.363,6.801
United States,Female,8.548,104,1.925,12.302,4.794,11.725,5.371
United States,Male,9.065,231,1.448,11.888,6.242,11.454,6.676
Zambia,Female,9.174,46,1.651,12.393,5.955,11.897,6.450
Zambia,Male,9.233,30,1.305,11.778,6.689,11.386,7.081
