Profession,Country,Region,Education,Sex,Age,AgeBin,Maritial,1.1_HeardCovid,1.2_Television/Radio,1.2_Newspaper/Magazines,1.2_SocialMedia,1.2_Colleagues/Workplace,1.2_Neighbors,1.3_CovidKnowledgeLevel,1.4_ContactRespiratoryDrop,1.4_Touching,1.4_UseSameObject,1.4_Sex,1.4_PersonToPerson,1.4_CloseContact,1.4_TouchingCoin,1.4_CovidFloatOnAir,1.5_Fever,1.5_Tiredness,1.5_Cough,1.5_ShortnessBreath,1.5_AchesPain,1.5_NasalCongestion,1.5_RunningNose,1.5_SoreThroat,1.5_Diarrhea,1.6_Mask,1.7_IncubationPeriod,1.8_Vaccine,1.9_LockDown,1.9_Isolation,1.9_Quarantine,1.10_Over60Yr,1.10_PrexistingCond,1.10_WorkEnvo,1.10_RiskZone,2.1_LockDown,2.2_HomeQuarantine,2.3_Isolation,2.4_PersonalHygiene,2.5_MediaRole,2.6_Over60Yr,2.6_PreExisting,2.6_Working,2.6_RiskZone,3.1_Quarantine,3.1_Respository,3.1_WashingHand,3.1_Mask,3.1_TouchingMouth,3.1_SocialDistance,3.2_PPE,3.3_Test,3.4_Handshake,3.4_Hug,3.4_VisitPlaces,3.4_ContactInfected,3.4_Religion,3.5_HandWash,3.8_Internet,3.9_Newspaper,3.9_TV,3.9_SocialMedia,3.9_Internet,3.10_TimeSpentOnCovidNews,4.1_FearOfDeath,4.1_Anxeity,4.1_Depression,4.1_SocialExclusion,4.1_Lonliness,N90BestToControlSpread,LearntCovid,KnowledgeScore,OpinionScoring,Susceptiblity,BehaveScore,PsychologicalHealth,Access_Of_Information
Academian/Administration,Mexico,Central America and Mexico,,Female,18,"(8.999, 21.0]",3,0,0.0,0,0,1,0.0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,5,Dont Know,0,0,0,0,0,0,0,0,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,0,1,0,1.0,0,6,0,0,4,0
Medical Professionals,Ghana,"West Africa( Ghana, Nigeria)",T,Female,22,"(21.0, 24.0]",1,1,1.0,1,1,1,1.0,,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,2,Other,0,1,1,1,0,0,0,1,5,2,5,4,4,,1,1,1,1,1,1,1,1,1,1,3,1,0,0,0,1,0,1,1,1,1,1,2,1,0,1,1,1,0,5.0,18,20,3,8,4,4
Medical Professionals,Ghana,"West Africa( Ghana, Nigeria)",T,Female,21,"(8.999, 21.0]",1,1,1.0,0,1,0,1.0,,1,1,1,0,1,1,1.0,0.0,1,1,1,1,1,1,1,1,1,5,2-14 Day,0,1,0,1,1,0,1,0,3,4,5,4,4,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,3.0,17,20,1,10,0,3
Academian/Administration,Japan,"East Asia (China, Japan, South korea)",S,Female,21,"(8.999, 21.0]",1,1,1.0,0,1,1,1.0,5,1,1,1,0,1,1,,,1,1,1,1,1,1,1,1,1,5,2-14 Day,0,1,1,1,1,1,0,,2,5,4,5,2,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,4.0,16,18,4,8,5,3
Academian/Administration,United States,"North America (United States of America, Canada)",,Female,35,"(30.0, 41.0]",2,1,1.0,1,0,0,0.0,,1,1,1,0,1,1,0.0,1.0,1,1,1,1,1,1,1,1,1,1,2-14 Day,0,1,1,1,0,0,0,0,4,5,5,5,5,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,2.0,16,24,0,5,0,1
Others,Australia,"Pacific Region (Australia, New zealand)",,Male,14,"(8.999, 21.0]",1,1,0.0,0,1,0,0.0,,1,1,1,0,1,1,1.0,0.0,1,1,1,1,0,1,1,1,0,1,2-14 Day,0,1,1,1,1,1,0,0,5,5,5,5,5,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1.0,16,25,0,9,3,2
Medical Professionals,Zambia,"Southern Africa (South Africa, Malawi, Zambia)",T,Female,36,"(30.0, 41.0]",2,1,1.0,1,1,1,0.0,,1,1,1,0,1,0,0.0,1.0,1,0,1,0,1,1,0,1,0,1,2-14 Day,0,1,1,0,0,0,0,0,5,4,4,5,5,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,4.0,11,23,4,8,3,2
Medical Professionals,Turkey,"West Asia (Iran, Oman, Pakistan, Qatar, Turkey, Saudia Arabia, United Arab Emirats, Yaman)",T,Female,35,"(30.0, 41.0]",2,1,1.0,1,1,1,1.0,,1,1,1,0,1,1,1.0,0.0,1,1,1,1,1,1,1,1,1,1,2-14 Day,0,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,1,5.0,20,20,4,11,0,4
Academian/Administration,United States,"North America (United States of America, Canada)",S,Male,25,"(24.0, 30.0]",2,1,1.0,1,1,1,1.0,,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,1,1,1,1,1,2-14 Day,0,1,1,1,1,1,1,1,1,3,3,4,4,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,5.0,22,15,1,7,5,4
Academian/Administration,United States,"North America (United States of America, Canada)",S,Male,33,"(30.0, 41.0]",1,1,1.0,0,1,1,0.0,,1,1,1,0,1,1,0.0,1.0,1,1,0,1,1,0,1,1,0,5,2-14 Day,1,1,0,1,0,1,1,0,5,5,5,5,4,0,0,1,0,1,1,1,1,0,1,3,0,1,0,0,1,1,2,1,0,0,1,1,1,1,1,1,1,1,0,3.0,14,24,1,8,5,2
