Country,AgeBin,Mean,Count,Std.,CI95_high,CI95_low,CI90_high,CI90_low
Bangladesh,"(0.0, 25.0]",17.352,335,2.557,22.339,12.365,21.572,13.133
Bangladesh,"(25.0, 50.0]",17.776,156,2.411,22.477,13.074,21.754,13.797
Bangladesh,"(50.0, inf]",,0,,,0.000,,0.000
China,"(0.0, 25.0]",16.793,381,4.119,24.826,8.760,23.590,9.996
China,"(25.0, 50.0]",16.837,245,3.902,24.446,9.227,23.275,10.398
China,"(50.0, inf]",14.326,86,2.855,19.893,8.758,19.036,9.615
Japan,"(0.0, 25.0]",14.286,14,2.268,18.708,9.864,18.028,10.544
Japan,"(25.0, 50.0]",13.705,61,2.747,19.061,8.349,18.237,9.173
Japan,"(50.0, inf]",15.250,12,2.379,19.889,10.611,19.175,11.325
Malaysia,"(0.0, 25.0]",15.250,12,2.417,19.963,10.537,19.238,11.262
Malaysia,"(25.0, 50.0]",16.107,121,3.033,22.021,10.194,21.111,11.104
Malaysia,"(50.0, inf]",15.200,15,2.883,20.823,9.577,19.958,10.442
Mexico,"(0.0, 25.0]",15.865,289,3.238,22.179,9.551,21.208,10.522
Mexico,"(25.0, 50.0]",16.724,217,2.918,22.414,11.033,21.539,11.909
Mexico,"(50.0, inf]",16.663,89,2.923,22.363,10.963,21.486,11.840
Pakistan,"(0.0, 25.0]",17.420,69,2.730,22.744,12.097,21.925,12.916
Pakistan,"(25.0, 50.0]",17.397,194,2.626,22.517,12.277,21.729,13.065
Pakistan,"(50.0, inf]",,0,,,0.000,,0.000
United States,"(0.0, 25.0]",15.432,176,3.061,21.400,9.464,20.482,10.382
United States,"(25.0, 50.0]",16.509,108,2.635,21.648,11.371,20.857,12.161
United States,"(50.0, inf]",15.549,51,3.838,23.034,8.064,21.882,9.216
Zambia,"(0.0, 25.0]",15.727,11,2.936,21.452,10.003,20.571,10.883
Zambia,"(25.0, 50.0]",16.556,63,2.999,22.403,10.708,21.504,11.608
Zambia,"(50.0, inf]",17.000,2,0.000,17.000,17.000,17.000,17.000
