Country,Education,Mean,Count,Std.,CI95_high,CI95_low,CI90_high,CI90_low
Bangladesh,S,17.464,28,2.380,22.106,12.823,21.392,13.537
Bangladesh,T,17.648,213,2.543,22.606,12.690,21.843,13.453
China,P,16.947,114,3.800,24.357,9.537,23.217,10.677
China,S,18.040,25,4.817,27.434,8.646,25.989,10.091
China,T,16.356,573,3.976,24.109,8.603,22.916,9.796
Japan,S,14.188,16,2.073,18.229,10.146,17.607,10.768
Japan,T,13.862,65,2.844,19.408,8.315,18.555,9.168
Malaysia,T,15.910,100,2.920,21.604,10.216,20.728,11.092
Mexico,S,16.296,125,3.103,22.347,10.245,21.416,11.176
Mexico,T,16.364,338,2.806,21.836,10.891,20.995,11.733
Pakistan,T,16.947,76,2.503,21.828,12.067,21.077,12.818
United States,S,16.186,43,3.246,22.516,9.857,21.542,10.830
United States,T,15.969,129,2.850,21.527,10.411,20.672,11.266
Zambia,S,17.000,1,,,0.000,,0.000
Zambia,T,16.462,52,2.993,22.298,10.625,21.400,11.523
