Country,Sex,Mean,Count,Std.,CI95_high,CI95_low,CI90_high,CI90_low
Bangladesh,Female,17.511,227,2.688,22.752,12.270,21.946,13.076
Bangladesh,Male,17.466,264,2.366,22.079,12.853,21.369,13.563
China,Female,16.679,324,4.133,24.738,8.620,23.498,9.860
China,Male,16.369,388,3.868,23.911,8.826,22.751,9.986
Japan,Female,13.673,49,2.657,18.854,8.493,18.057,9.290
Japan,Male,14.447,38,2.627,19.571,9.324,18.782,10.112
Malaysia,Female,15.565,46,3.475,22.341,8.790,21.298,9.832
Malaysia,Male,16.118,102,2.722,21.426,10.809,20.610,11.626
Mexico,Female,16.168,185,3.344,22.689,9.646,21.686,10.650
Mexico,Male,16.356,410,2.989,22.185,10.528,21.288,11.424
Pakistan,Female,17.106,141,2.680,22.332,11.881,21.528,12.685
Pakistan,Male,17.746,122,2.580,22.776,12.716,22.002,13.490
United States,Female,15.096,104,3.105,21.151,9.041,20.219,9.973
United States,Male,16.113,231,3.045,22.051,10.174,21.137,11.088
Zambia,Female,16.500,46,2.795,21.950,11.050,21.111,11.889
Zambia,Male,16.367,30,3.211,22.628,10.106,21.664,11.069
