Country,AgeBin,Mean,Count,Std.,CI95_high,CI95_low,CI90_high,CI90_low
Bangladesh,"(0.0, 25.0]",23.003,335,1.874,26.657,19.349,26.095,19.911
Bangladesh,"(25.0, 50.0]",23.494,156,1.861,27.123,19.864,26.565,20.422
Bangladesh,"(50.0, inf]",,0,,,0.000,,0.000
China,"(0.0, 25.0]",12.929,381,2.641,18.080,7.779,17.287,8.571
China,"(25.0, 50.0]",12.384,245,2.896,18.030,6.737,17.162,7.606
China,"(50.0, inf]",8.535,86,3.271,14.913,2.157,13.932,3.138
Japan,"(0.0, 25.0]",20.357,14,1.646,23.567,17.148,23.073,17.642
Japan,"(25.0, 50.0]",20.803,61,2.330,25.346,16.260,24.647,16.959
Japan,"(50.0, inf]",20.333,12,1.826,23.894,16.773,23.346,17.321
Malaysia,"(0.0, 25.0]",23.833,12,1.115,26.007,21.660,25.672,21.994
Malaysia,"(25.0, 50.0]",23.802,121,1.787,27.286,20.317,26.750,20.853
Malaysia,"(50.0, inf]",24.200,15,1.014,26.178,22.222,25.873,22.527
Mexico,"(0.0, 25.0]",22.619,289,2.402,27.304,17.935,26.583,18.655
Mexico,"(25.0, 50.0]",22.558,217,2.514,27.461,17.655,26.706,18.409
Mexico,"(50.0, inf]",22.809,89,2.215,27.128,18.490,26.464,19.154
Pakistan,"(0.0, 25.0]",22.899,69,1.708,26.228,19.569,25.716,20.081
Pakistan,"(25.0, 50.0]",23.423,194,1.960,27.244,19.601,26.656,20.189
Pakistan,"(50.0, inf]",,0,,,0.000,,0.000
United States,"(0.0, 25.0]",21.938,176,2.899,27.590,16.285,26.720,17.155
United States,"(25.0, 50.0]",22.944,108,2.586,27.988,17.901,27.212,18.677
United States,"(50.0, inf]",21.980,51,2.997,27.824,16.137,26.925,17.036
Zambia,"(0.0, 25.0]",22.455,11,1.809,25.982,18.927,25.440,19.470
Zambia,"(25.0, 50.0]",21.984,63,2.129,26.135,17.833,25.497,18.472
Zambia,"(50.0, inf]",21.500,2,3.536,28.394,14.606,27.334,15.666
