Country,Sex,Mean,Count,Std.,CI95_high,CI95_low,CI90_high,CI90_low
Bangladesh,Female,23.026,227,1.973,26.874,19.179,26.282,19.771
Bangladesh,Male,23.273,264,1.796,26.775,19.770,26.236,20.309
China,Female,11.985,324,3.298,18.415,5.554,17.426,6.543
China,Male,12.399,388,2.977,18.204,6.595,17.311,7.488
Japan,Female,20.714,49,2.354,25.305,16.124,24.599,16.830
Japan,Male,20.605,38,1.911,24.331,16.879,23.758,17.453
Malaysia,Female,23.935,46,1.569,26.995,20.875,26.524,21.346
Malaysia,Male,23.804,102,1.729,27.176,20.432,26.657,20.950
Mexico,Female,22.605,185,2.556,27.590,17.621,26.823,18.388
Mexico,Male,22.634,410,2.351,27.219,18.049,26.514,18.755
Pakistan,Female,23.163,141,1.684,26.448,19.878,25.943,20.384
Pakistan,Male,23.426,122,2.136,27.591,19.262,26.950,19.903
United States,Female,21.577,104,3.346,28.102,15.052,27.098,16.055
United States,Male,22.580,231,2.539,27.530,17.630,26.769,18.391
Zambia,Female,21.761,46,2.223,26.096,17.426,25.429,18.093
Zambia,Male,22.467,30,1.833,26.042,18.892,25.492,19.442
