Country,AgeBin,Mean,Count,Std.,CI95_high,CI95_low,CI90_high,CI90_low
Bangladesh,"(0.0, 25.0]",2.600,335,1.665,5.848,0.000,5.348,0.000
Bangladesh,"(25.0, 50.0]",2.904,156,1.597,6.019,0.000,5.540,0.268
Bangladesh,"(50.0, inf]",,0,,,0.000,,0.000
China,"(0.0, 25.0]",2.493,381,1.677,5.764,0.000,5.261,0.000
China,"(25.0, 50.0]",2.506,245,1.575,5.577,0.000,5.105,0.000
China,"(50.0, inf]",2.209,86,1.415,4.969,0.000,4.544,0.000
Japan,"(0.0, 25.0]",2.214,14,1.122,4.402,0.027,4.065,0.363
Japan,"(25.0, 50.0]",2.311,61,1.272,4.792,0.000,4.410,0.213
Japan,"(50.0, inf]",2.333,12,0.985,4.254,0.413,3.958,0.709
Malaysia,"(0.0, 25.0]",1.750,12,1.960,5.572,0.000,4.984,0.000
Malaysia,"(25.0, 50.0]",1.595,121,1.666,4.844,0.000,4.344,0.000
Malaysia,"(50.0, inf]",1.800,15,1.568,4.857,0.000,4.386,0.000
Mexico,"(0.0, 25.0]",2.685,289,1.444,5.501,0.000,5.067,0.303
Mexico,"(25.0, 50.0]",2.272,217,1.568,5.329,0.000,4.859,0.000
Mexico,"(50.0, inf]",1.787,89,1.465,4.644,0.000,4.204,0.000
Pakistan,"(0.0, 25.0]",2.696,69,1.912,6.424,0.000,5.851,0.000
Pakistan,"(25.0, 50.0]",2.196,194,1.645,5.405,0.000,4.911,0.000
Pakistan,"(50.0, inf]",,0,,,0.000,,0.000
United States,"(0.0, 25.0]",2.460,176,1.511,5.407,0.000,4.954,0.000
United States,"(25.0, 50.0]",2.426,108,1.630,5.605,0.000,5.116,0.000
United States,"(50.0, inf]",1.667,51,1.633,4.851,0.000,4.361,0.000
Zambia,"(0.0, 25.0]",2.545,11,1.440,5.353,0.000,4.921,0.170
Zambia,"(25.0, 50.0]",2.714,63,1.549,5.736,0.000,5.271,0.158
Zambia,"(50.0, inf]",4.000,2,1.414,6.758,1.242,6.333,1.667
