Country,Sex,Mean,Count,Std.,CI95_high,CI95_low,CI90_high,CI90_low
Bangladesh,Female,2.581,227,1.736,5.967,0.000,5.446,0.000
Bangladesh,Male,2.795,264,1.566,5.849,0.000,5.379,0.212
China,Female,2.210,324,1.568,5.267,0.000,4.796,0.000
China,Male,2.675,388,1.623,5.840,0.000,5.353,0.000
Japan,Female,2.020,49,1.070,4.107,0.000,3.786,0.255
Japan,Male,2.658,38,1.279,5.152,0.163,4.769,0.547
Malaysia,Female,1.848,46,1.873,5.501,0.000,4.939,0.000
Malaysia,Male,1.529,102,1.571,4.594,0.000,4.122,0.000
Mexico,Female,1.984,185,1.627,5.156,0.000,4.668,0.000
Mexico,Male,2.588,410,1.439,5.395,0.000,4.963,0.213
Pakistan,Female,2.199,141,1.817,5.743,0.000,5.197,0.000
Pakistan,Male,2.475,122,1.617,5.629,0.000,5.144,0.000
United States,Female,1.808,104,1.667,5.058,0.000,4.558,0.000
United States,Male,2.563,231,1.499,5.486,0.000,5.036,0.089
Zambia,Female,2.739,46,1.612,5.882,0.000,5.398,0.080
Zambia,Male,2.700,30,1.418,5.465,0.000,5.039,0.361
