Country,AgeBin,Mean,Count,Std.,CI95_high,CI95_low,CI90_high,CI90_low
Bangladesh,"(0.0, 25.0]",1.570,335,1.588,4.666,0.000,4.190,0.000
Bangladesh,"(25.0, 50.0]",1.865,156,1.392,4.579,0.000,4.162,0.000
Bangladesh,"(50.0, inf]",,0,,,0.000,,0.000
China,"(0.0, 25.0]",0.714,381,1.233,3.118,0.000,2.749,0.000
China,"(25.0, 50.0]",0.853,245,1.202,3.198,0.000,2.837,0.000
China,"(50.0, inf]",1.384,86,1.129,3.585,0.000,3.247,0.000
Japan,"(0.0, 25.0]",3.286,14,0.914,5.068,1.504,4.794,1.778
Japan,"(25.0, 50.0]",3.164,61,1.113,5.335,0.993,5.001,1.327
Japan,"(50.0, inf]",3.500,12,0.674,4.815,2.185,4.612,2.388
Malaysia,"(0.0, 25.0]",0.750,12,1.545,3.762,0.000,3.299,0.000
Malaysia,"(25.0, 50.0]",1.669,121,1.620,4.828,0.000,4.342,0.000
Malaysia,"(50.0, inf]",1.600,15,1.724,4.961,0.000,4.444,0.000
Mexico,"(0.0, 25.0]",0.772,289,1.135,2.985,0.000,2.644,0.000
Mexico,"(25.0, 50.0]",0.894,217,1.055,2.952,0.000,2.635,0.000
Mexico,"(50.0, inf]",1.180,89,1.093,3.311,0.000,2.983,0.000
Pakistan,"(0.0, 25.0]",2.029,69,1.645,5.236,0.000,4.743,0.000
Pakistan,"(25.0, 50.0]",1.716,194,1.420,4.486,0.000,4.060,0.000
Pakistan,"(50.0, inf]",,0,,,0.000,,0.000
United States,"(0.0, 25.0]",0.824,176,1.145,3.057,0.000,2.714,0.000
United States,"(25.0, 50.0]",1.083,108,1.382,3.777,0.000,3.363,0.000
United States,"(50.0, inf]",1.353,51,1.494,4.267,0.000,3.819,0.000
Zambia,"(0.0, 25.0]",2.000,11,1.673,5.263,0.000,4.761,0.000
Zambia,"(25.0, 50.0]",2.048,63,1.679,5.322,0.000,4.819,0.000
Zambia,"(50.0, inf]",0.000,2,0.000,0.000,0.000,0.000,0.000
