Country,Profession,Mean,Count,Std.,CI95_high,CI95_low,CI90_high,CI90_low
Bangladesh,Academian/Administration,1.703,145,1.729,5.074,0.000,4.556,0.000
Bangladesh,Medical Professionals,1.680,337,1.437,4.481,0.000,4.050,0.000
Bangladesh,Others,0.444,9,1.333,3.044,0.000,2.644,0.000
China,Academian/Administration,0.644,564,1.157,2.899,0.000,2.552,0.000
China,Medical Professionals,1.601,148,1.194,3.929,0.000,3.571,0.000
Japan,Academian/Administration,3.322,59,0.937,5.148,1.496,4.867,1.777
Japan,Medical Professionals,3.150,20,1.089,5.274,1.026,4.948,1.352
Japan,Others,2.750,8,1.488,5.652,0.000,5.205,0.295
Malaysia,Academian/Administration,1.490,51,1.713,4.831,0.000,4.317,0.000
Malaysia,Medical Professionals,1.699,93,1.600,4.819,0.000,4.339,0.000
Malaysia,Others,0.250,4,0.500,1.225,0.000,1.075,0.000
Mexico,Academian/Administration,0.871,341,1.120,3.055,0.000,2.719,0.000
Mexico,Medical Professionals,0.858,232,1.049,2.904,0.000,2.589,0.000
Mexico,Others,1.182,22,1.468,4.045,0.000,3.604,0.000
Pakistan,Academian/Administration,1.241,58,1.548,4.260,0.000,3.796,0.000
Pakistan,Medical Professionals,1.956,203,1.426,4.736,0.000,4.308,0.000
Pakistan,Others,2.000,2,2.828,7.515,0.000,6.667,0.000
United States,Academian/Administration,0.884,233,1.269,3.360,0.000,2.979,0.000
United States,Medical Professionals,1.309,94,1.336,3.914,0.000,3.513,0.000
United States,Others,0.250,8,0.463,1.153,0.000,1.014,0.000
Zambia,Academian/Administration,1.930,57,1.720,5.284,0.000,4.768,0.000
Zambia,Medical Professionals,2.158,19,1.573,5.225,0.000,4.753,0.000
