Country,Sex,Mean,Count,Std.,CI95_high,CI95_low,CI90_high,CI90_low
Bangladesh,Female,1.952,227,1.589,5.050,0.000,4.573,0.000
Bangladesh,Male,1.417,264,1.441,4.227,0.000,3.794,0.000
China,Female,0.840,324,1.196,3.171,0.000,2.812,0.000
China,Male,0.845,388,1.254,3.291,0.000,2.915,0.000
Japan,Female,3.102,49,1.026,5.102,1.102,4.794,1.410
Japan,Male,3.395,38,1.028,5.399,1.391,5.090,1.699
Malaysia,Female,1.804,46,1.797,5.308,0.000,4.769,0.000
Malaysia,Male,1.490,102,1.553,4.518,0.000,4.052,0.000
Mexico,Female,0.935,185,1.131,3.140,0.000,2.801,0.000
Mexico,Male,0.851,410,1.097,2.990,0.000,2.661,0.000
Pakistan,Female,1.858,141,1.538,4.857,0.000,4.396,0.000
Pakistan,Male,1.730,122,1.426,4.510,0.000,4.083,0.000
United States,Female,1.154,104,1.473,4.027,0.000,3.585,0.000
United States,Male,0.913,231,1.198,3.250,0.000,2.891,0.000
Zambia,Female,2.304,46,1.631,5.485,0.000,4.996,0.000
Zambia,Male,1.500,30,1.656,4.729,0.000,4.232,0.000
